data;id_venda;filial;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2023-02-09 12:54:50.911871;0;São Paulo;Cassia Moraes;Tenis Fila;Albert Wilson;masculino;credito
2023-02-09 14:41:42.048871;1;Canoas;Carlos Henrique;Tenis Adidas;Elizabeth Wilbanks;feminino;credito
2023-02-09 15:28:51.973871;2;Porto Alegre;Luiza Cherobini;Tenis Fila;Clarence Morris;masculino;credito
2023-02-09 16:33:49.616882;3;Caxias do Sul;Mateus Kienzle;Tenis Nike;Royce Deforest;masculino;credito
2023-02-09 18:12:40.240871;4;Lajeado;Juliano Faccioni;Tenis NB;Johnnie Gilderman;feminino;boleto
2023-02-10 07:17:42.081872;5;São Paulo;Claudio Bueno;Tenis Adidas;Ross Maldonado;masculino;credito
2023-02-10 07:34:42.631925;6;Caxias do Sul;Mateus Kienzle;Tenis Adidas;Kathy King;feminino;credito
2023-02-10 10:24:41.177872;7;São Paulo;Cassia Moraes;Tenis Fila;Brenda Engle;feminino;credito
2023-02-10 13:26:52.154930;8;Canoas;Carlos Henrique;Tenis Nike;Helene Bell;feminino;pix
2023-02-10 13:34:43.104870;9;São Paulo;Claudio Bueno;Tenis Nike;Gabriel Brooks;masculino;credito
2023-02-10 15:36:48.528876;10;Porto Alegre;Luiza Cherobini;Tenis NB;David Kramer;masculino;credito
2023-02-10 16:30:52.147870;11;São Paulo;Claudio Bueno;Tenis Adidas;Vesta Tait;feminino;boleto
2023-02-10 17:38:41.341924;12;Lajeado;Adriano Soares;Tenis Fila;Joanne Ricardo;feminino;credito
2023-02-11 10:38:50.230870;13;Florianópolis;Claudia dos Santos;Tenis Adidas;Patricia Brown;feminino;credito
2023-02-11 10:54:44.723924;14;Canoas;Luis Fernando;Tenis NB;Rachel Cessna;feminino;credito
2023-02-11 11:53:48.087870;15;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Ellen Dunn;feminino;credito
2023-02-11 13:24:54.524873;16;Florianópolis;Mario Sérgio;Tenis Nike;Milagros Yates;feminino;credito
2023-02-11 13:40:54.895870;17;São Paulo;Claudio Bueno;Tenis Fila;Irene Coffman;feminino;credito
2023-02-11 15:47:50.024870;18;São Paulo;Claudio Bueno;Tenis Adidas;Charlotte Williams;feminino;pix
2023-02-11 15:55:50.680871;19;Porto Alegre;Luiza Cherobini;Tenis Adidas;Dara Rosen;feminino;credito
2023-02-12 09:31:43.110879;20;São Paulo;Claudio Bueno;Tenis Adidas;Julie West;feminino;pix
2023-02-12 12:57:44.365871;21;Florianópolis;Claudia dos Santos;Tenis NB;Greg Arnold;masculino;pix
2023-02-12 13:54:45.929871;22;Lajeado;Adriano Soares;Tenis Fila;Juan Pinard;masculino;credito
2023-02-12 14:25:56.020881;23;Caxias do Sul;Mateus Kienzle;Tenis Fila;Anita Norsworthy;feminino;boleto
2023-02-12 14:54:50.003870;24;Lajeado;Juliano Faccioni;Tenis Fila;Juanita Crosson;feminino;pix
2023-02-12 15:03:47.488872;25;Porto Alegre;Luiza Cherobini;Tenis Fila;Christian Call;masculino;credito
2023-02-12 15:13:46.331871;26;São Paulo;Claudio Bueno;Tenis Fila;Alecia Burnett;feminino;credito
2023-02-12 15:41:49.647870;27;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Jess Stewarts;masculino;boleto
2023-02-12 16:22:46.387871;28;Lajeado;Juliano Faccioni;Tenis Fila;Derek Span;masculino;credito
2023-02-13 07:16:42.378871;29;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Victoria Duran;feminino;credito
2023-02-13 07:58:49.420870;30;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Virginia Feather;feminino;credito
2023-02-13 10:13:42.004870;31;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Mark Tucker;masculino;credito
2023-02-13 10:51:47.618872;32;Lajeado;Juliano Faccioni;Tenis NB;John Jackson;masculino;credito
2023-02-13 13:42:55.417876;33;São Paulo;Claudio Bueno;Tenis Fila;Russell West;masculino;credito
2023-02-13 14:05:47.368871;34;Canoas;Luis Fernando;Tenis NB;Maria Sims;feminino;credito
2023-02-13 15:49:40.408877;35;Canoas;Luis Fernando;Tenis Nike;Janet Bolger;feminino;pix
2023-02-13 16:32:51.716876;36;São Paulo;Claudio Bueno;Tenis Adidas;William Wilson;masculino;credito
2023-02-13 18:07:42.566871;37;Florianópolis;Mario Sérgio;Tenis Adidas;Jerry Phillips;masculino;credito
2023-02-14 08:18:47.726872;38;Lajeado;Juliano Faccioni;Tenis NB;Erin Helmick;feminino;credito
2023-02-14 08:24:54.088870;39;São Paulo;Claudio Bueno;Tenis Adidas;Karen Griffin;feminino;credito
2023-02-14 11:56:55.615872;40;Lajeado;Juliano Faccioni;Tenis Nike;Eric Cohen;masculino;credito
2023-02-14 13:09:53.597877;41;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Phyllis Turbacuski;feminino;boleto
2023-02-14 13:59:49.932871;42;São Paulo;Claudio Bueno;Tenis Adidas;Charles Krings;masculino;credito
